,title,content,publication,label
0,Muslims BUSTED: They Stole Millions In Gov’t Benefits,"Print They should pay all the back all the money plus interest. The entire family and everyone who came in with them need to be deported asap. Why did it take two years to bust them?
Here we go again …another group stealing from the government and taxpayers! A group of Somalis stole over four million in government benefits over just 10 months!
We’ve reported on numerous cases like this one where the Muslim refugees/immigrants commit fraud by scamming our system…It’s way out of control! More Related",100percentfedup,fake
1,Re: Why Did Attorney General Loretta Lynch Plead The Fifth?,"Why Did Attorney General Loretta Lynch Plead The Fifth? Barracuda Brigade 2016-10-28 Print The administration is blocking congressional probe into cash payments to Iran. Of course she needs to plead the 5th. She either can’t recall, refuses to answer, or just plain deflects the question. Straight up corruption at its finest!
100percentfedUp.com ; Talk about covering your ass! Loretta Lynch did just that when she plead the Fifth to avoid incriminating herself over payments to Iran…Corrupt to the core! Attorney General Loretta Lynch is declining to comply with an investigation by leading members of Congress about the Obama administration’s secret efforts to send Iran $1.7 billion in cash earlier this year, prompting accusations that Lynch has “pleaded the Fifth” Amendment to avoid incriminating herself over these payments, according to lawmakers and communications exclusively obtained by the Washington Free Beacon.
Sen. Marco Rubio (R., Fla.) and Rep. Mike Pompeo (R., Kan.) initially presented Lynch in October with a series of questions about how the cash payment to Iran was approved and delivered.
In an Oct. 24 response, Assistant Attorney General Peter Kadzik responded on Lynch’s behalf, refusing to answer the questions and informing the lawmakers that they are barred from publicly disclosing any details about the cash payment, which was bound up in a ransom deal aimed at freeing several American hostages from Iran.
The response from the attorney general’s office is “unacceptable” and provides evidence that Lynch has chosen to “essentially plead the fifth and refuse to respond to inquiries regarding [her]role in providing cash to the world’s foremost state sponsor of terrorism,” Rubio and Pompeo wrote on Friday in a follow-up letter to Lynch. More Related",100percentfedup,fake
2,BREAKING: Weiner Cooperating With FBI On Hillary Email Investigation,"Red State :
Fox News Sunday reported this morning that Anthony Weiner is cooperating with the FBI, which has re-opened (yes, lefties: “re-opened”) the investigation into Hillary Clinton’s classified emails. Watch as Chris Wallace reports the breaking news during the panel segment near the end of the show:
And the news is breaking while we’re on the air. Our colleague Bret Baier has just sent us an e-mail saying he has two sources who say that Anthony Weiner, who also had co-ownership of that laptop with his estranged wife Huma Abedin, is cooperating with the FBI investigation, had given them the laptop, so therefore they didn’t need a warrant to get in to see the contents of said laptop. Pretty interesting development.
Targets of federal investigations will often cooperate, hoping that they will get consideration from a judge at sentencing. Given Weiner’s well-known penchant for lying, it’s hard to believe that a prosecutor would give Weiner a deal based on an agreement to testify, unless his testimony were very strongly corroborated by hard evidence. But cooperation can take many forms — and, as Wallace indicated on this morning’s show, one of those forms could be signing a consent form to allow   the contents of devices that they could probably get a warrant for anyway. We’ll see if Weiner’s cooperation extends beyond that. More Related",100percentfedup,fake
3,"PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS: ""I have voted for Donald J. Trump!"" » 100percentfedUp.com",Email Kayla Mueller was a prisoner and tortured by ISIS while no chance of release…a horrific story. Her father gave a pin drop speech that was so heartfelt you want to give him a hug. Carl Mueller believes Donald Trump will be a great president…Epic speech! 9.0K shares ,100percentfedup,fake
4,FANTASTIC! TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell! » 100percentfedUp.com,"Email HEALTHCARE REFORM TO MAKE AMERICA GREAT AGAIN
Since March of 2010, the American people have had to suffer under the incredible economic burden of the Affordable Care Act—Obamacare. This legislation, passed by totally partisan votes in the House and Senate and signed into law by the most divisive and partisan President in American history, has tragically but predictably resulted in runaway costs, websites that don’t work, greater rationing of care, higher premiums, less competition and fewer choices. Obamacare has raised the economic uncertainty of every single person residing in this country. As it appears Obamacare is certain to collapse of its own weight, the damage done by the Democrats and President Obama, and abetted by the Supreme Court, will be difficult to repair unless the next President and a Republican congress lead the effort to bring much-needed free market reforms to the healthcare industry.
Congress must act. Our elected representatives in the House and Senate must:
1. Completely repeal Obamacare. Our elected representatives must eliminate the individual mandate. No person should be required to buy insurance unless he or she wants to.
2. Modify existing law that inhibits the sale of health insurance across state lines. As long as the plan purchased complies with state requirements, any vendor ought to be able to offer insurance in any state. By allowing full competition in this market, insurance costs will go down and consumer satisfaction will go up.
3. Allow individuals to fully deduct health insurance premium payments from their tax returns under the current tax system. Businesses are allowed to take these deductions so why wouldn’t Congress allow individuals the same exemptions? As we allow the free market to provide insurance coverage opportunities to companies and individuals, we must also make sure that no one slips through the cracks simply because they cannot afford insurance. We must review basic options for Medicaid and work with states to ensure that those who want healthcare coverage can have it. TRENDING ON 100% Fed Up ",100percentfedup,fake
5,Hillary Goes Absolutely Berserk On Protester At Rally! (Video),"Print Hillary goes absolutely berserk! She explodes on Bill ‘rapist’ protester at rally… Oh the irony! She is an enabler to Bill’s “escapades”. She’s is just projecting again. She is so pathetic. Dragging integrity challenged Alicia Machado on stage with her yesterday at her sad little “rally” in Florida.
TGP : Democratic Party presidential nominee Hillary Clinton angrily reacted to a protester shouting “Bill Clinton is a rapist” at a campaign rally in Fort Lauderdale, Florida Tuesday night, saying, “I am sick and tired of the negative, dark, divisive, dangerous vision and behavior of people who support Donald Trump,” according to reports.
Protester interrupts Hillary Clinton shouting ""Bill Clinton is a rapist."" Clinton fires right back ""I am sick and tired of the negative"" pic.twitter.com/yncdkS90Bg
— Josh Haskell (@joshbhaskell) November 2, 2016 Man interrupts @HillaryClinton yelling ""Bill Clinton is a rapist""- she responds she's tired of divisive distractions. @nbc6 pic.twitter.com/2GPjps1EQB
— Jamie Guirola (@jamieNBC6) November 2, 2016 Here's Hillary absolutely going bezerk on a protester, starts screaming, shouting, yelling. Full off the rails. pic.twitter.com/j11qI5JjtO
— John Binder 👽 (@JxhnBinder) November 2, 2016 Related",100percentfedup,fake
6,"BREAKING! NYPD Ready To Make Arrests In Weiner Case…Hillary Visited Pedophile Island At Least 6 Times…Money Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Information » 100percentfedUp.com","BREAKING! NYPD Ready To Make Arrests In Weiner Case…Hillary Visited Pedophile Island At Least 6 Times…Money Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Information Blackwater USA Founder, Retired Navy Seal Erik Prince
Prince claimed he had insider knowledge of the investigation that could help explain why FBI Director James Comey had to announce he was reopening the investigation into Clinton’s email server last week.
“Because of Weinergate and the sexting scandal, the NYPD started investigating it. Through a subpoena, through a warrant, they searched his laptop, and sure enough, found those 650,000 emails. They found way more stuff than just more information pertaining to the inappropriate sexting the guy was doing,” Prince claimed.
“They found State Department emails. They found a lot of other really damning criminal information, including money laundering, including the fact that Hillary went to this sex island with convicted pedophile Jeffrey Epstein. Bill Clinton went there more than 20 times. Hillary Clinton went there at least six times,” he said.
“The amount of garbage that they found in these emails, of criminal activity by Hillary, by her immediate circle, and even by other Democratic members of Congress was so disgusting they gave it to the FBI, and they said, ‘We’re going to go public with this if you don’t reopen the investigation and you don’t do the right thing with timely indictments,’” Prince explained.
“I believe – I know, and this is from a very well-placed source of mine at 1PP, One Police Plaza in New York – the NYPD wanted to do a press conference announcing the warrants and the additional arrests they were making in this investigation, and they’ve gotten huge pushback, to the point of coercion, from the Justice Department, with the Justice Department threatening to charge someone that had been unrelated in the accidental heart attack death of Eric Garner almost two years ago. That’s the level of pushback the Obama Justice Department is doing against actually seeking justice in the email and other related criminal matters,” Prince said.
“There’s five different parts of the FBI conducting investigations into these things, with constant downdrafts from the Obama Justice Department. So in the, I hope, unlikely and very unfortunate event that Hillary Clinton is elected president, we will have a constitutional crisis that we have not seen since, I believe, 1860,” Prince declared.
Marlow asked Prince to clarify these revelations.
“NYPD was the first one to look at that laptop,” Prince elaborated. “Weiner and Huma Abedin, his wife – the closest adviser of Hillary Clinton for 20 years – have both flipped. They are cooperating with the government. They both have – they see potential jail time of many years for their crimes, for Huma Abedin sending and receiving and even storing hundreds of thousands of messages from the State Department server and from Hillary Clinton’s own homebrew server, which contained classified information. Weiner faces all kinds of exposure for the inappropriate sexting that was going on and for other information that they found.”
“So NYPD first gets that computer. They see how disgusting it is. They keep a copy of everything, and they pass a copy on to the FBI, which finally pushes the FBI off their chairs, making Comey reopen that investigation, which was indicated in the letter last week. The point being, NYPD has all the information, and they will pursue justice within their rights if the FBI doesn’t,” Prince contended.
“There is all kinds of criminal culpability through all the emails they’ve seen of that 650,000, including money laundering, underage sex, pay-for-play, and, of course, plenty of proof of inappropriate handling, sending/receiving of classified information, up to SAP level Special Access Programs,” he stated.
“So the plot thickens. NYPD was pushing because, as an article quoted one of the chiefs – that’s the level just below commissioner – he said as a parent, as a father with daughters, he could not let that level of evil continue,” Prince said.
He noted that the FBI can investigate these matters, “but they can’t convene a grand jury. They can’t file charges.”
“The prosecutors, the Justice Department has to do that,” he explained. “Now, as I understand it, Preet Bharara, the Manhattan prosecutor, has gotten ahold of some of this. From what I hear, he’s a stand-up guy, and hopefully he does the right thing.”
Marlow agreed that Bharara’s “sterling reputation” as a determined prosecutor was “bad news for the Clintons.”
Prince agreed, but said, “If people are willing to bend or break the law and don’t really care about the Constitution or due process – if you’re willing to use Stalinist tactics against someone – who knows what level of pressure” could be brought to bear against even the most tenacious law enforcement officials?
Listen to interview here:
“The point being, fortunately, it’s not just the FBI; [there are] five different offices that are in the hunt for justice, but the NYPD has it as well,” Prince said, citing the Wall Street Journal reporting that has “exposed downdraft, back pressure from the Justice Department” against both the FBI and NYPD, in an effort to “keep the sunlight and the disinfecting effects of the truth and transparency from shining on this great evil that has gone on, and is slowly being exposed.”
“The Justice Department is trying to run out the clock, to elect Hillary Clinton, to prevent any real justice from being done,” he warned.
As for the mayor of New York City, Prince said he has heard that “de Blasio wants to stay away from this.”
“The evidence is so bad, the email content is so bad, that I think even he wants to stay away from it, which is really telling,” he said.
For entire story: Breitbart News 14.7K shares ",100percentfedup,fake
7,WOW! WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District [VIDEO] » 100percentfedUp.com,"BREAKING! NYPD Ready To Make Arrests In Weiner Case…Hillary Visited Pedophile Island At Least 6 Times…Money Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Information
The amazing citizen journalist Mike Cernovich broke this story this morning at Danger and Play . Florida residents have been complaining that they’re not getting their absentee ballots. Chelsey Marie Smith, was working full-time at Broward County Supervisor of Elections main office blew the whistle on the voter fraud scheme: LIVE on #Periscope : Breaking news! Voting fraud uncovered in Florida #MAGA3X https://t.co/q7jeEz6Rgh
— Mike Cernovich 🇺🇸 (@Cernovich) November 4, 2016
The Florida State Attorney is actively investigating the fraud case that involves Secretary of Elections Brenda Snipes: Source: FL State Attorney investigators are actively reviewing Broward County Voter Fraud Case
— Jack Posobiec 🇺🇸 (@JackPosobiec) November 4, 2016

Democrat Dr. Brenda Snipes was appointed by Jeb Bush in 2003 and is no stranger to controversy. On October 20, the Sun Sentinal reported that former Oakland Park Commissioner Anne Sallee noticed something troubling about her vote-by-mail ballot. It is missing Constitutional Amendment 2, the medical marijuana question.
Sallee, now Broward chapter director of the Florida Restaurant and Lodging Association, knows her way around government. Yet she said she spent a week unsuccessfully trying to get someone at the Broward elections office to pay attention to her complaint.
She was cleared on Wednesday of another election snafu, the early posting of primary election results. Her office also was criticized for sending out inaccurate voter ID cards, and for printing ballots for November that include the word “no” in the “yes” line on the county’s transportation sales surtax question.
There were multiple reports that Hillary personally met with Brenda Snipes days ago: There were multiple reports Hillary personally met with Brenda Snipes days ago. No photos, but where there's smoke…
— Jack Posobiec 🇺🇸 (@JackPosobiec) November 4, 2016
According to a former Secretary of Elections Department employee, there is a secret room where Democrat insiders fill out those absentee ballots.
The woman provided her sworn testimony via affidavit.
The affidavit by Chelsey Marie Smith accuses Broward County officials of filling out blank absentee ballots to officials who she saw filling the ballots out at the Supervisor of Elections headquarters. Via: GP Page 1: ",100percentfedup,fake
8,BREAKING: CLINTON CLEARED...Was This A Coordinated Last Minute Trick To Energize Hillary's Base? » 100percentfedUp.com,"
Limbaugh said that the revelations in the Wikileaks material were “starting to hurt” the Clintons and that the renewed interest in an FBI investigation into her private email server would be a fruitless distraction.
In any case…
IT’S TIME TO DRAIN THE SWAMP!
FBI Director James Comey said Sunday that the agency has reviewed all of the Hillary Clinton emails recently discovered in an unrelated case and that his conclusion in July not to prosecute Clinton after the FBI’s original investigation into her use of private email server still stands.
Comey informed Congress on Oct. 28 that the agency would, in the unrelated case, review additional emails related to Clinton’s time running the State Department from 2009 to 2013.
“Since my letter, the FBI investigative team has been working around the clock to process and review a large volume of emails,” Comey said Sunday in a follow-up letter to Congress. “During that time we reviewed all of the communications that were to or from Hilary Clinton as secretary of state. Based on our review, we have not changed our conclusion.”
The new case is purportedly related to ex-New York Democratic Rep. Anthony Weiner using a laptop he shared with estranged wife and top Clinton aide Huma Abedin for “sexting” an apparently underage female.
",100percentfedup,fake
9,"EVIL HILLARY SUPPORTERS Yell ""F*ck Trump""…Burn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump Bumper-Stickers [VIDEO] » 100percentfedUp.com","Email
These people are sick and evil. They will stop at NOTHING to get their way. Laws mean nothing to them, because they mean nothing to their President and his regime…
A California man says a stranger hurled expletives and set his truck on fire Thursday after seeing a pro-Donald Trump sticker on the bumper.
Hao Lee had taken his 2-year-old son fishing on a pleasant November afternoon in Sacramento. He parked his white Dodge Ram truck with a pair of Trump stickers on the bumper along Garden Highway.
“About a couple hours into fishing I heard someone yelling out ‘F’ Trump,” Lee told KTXL.
Lee and his son were only about 50 yards from where his truck was parked, near the edge of the river. TRENDING ON 100% Fed Up ",100percentfedup,fake
